ukprn,provider,cah1_code,cah1_subject,cah2_code,cah2_subject,cah3_code,cah3_subject,question,agree_pct,agree_pct_sd,benchmark,respondents,population
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q01: How good are teaching staff at explaining things?,87.4,2.8,87.0,119,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q02: How often do teaching staff make the subject engaging?,80.5,3.6,70.6,118,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q03: How often is the course intellectually stimulating?,77.8,3.5,81.7,117,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q04: How often does your course challenge you to achieve your best work?,84.9,3.2,83.0,119,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q05: To what extent have you had the chance to explore ideas and concepts in depth? ,80.5,3.5,80.0,118,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,79.0,3.4,79.5,119,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,82.2,3.4,78.6,118,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q08: To what extent does your course have the right balance of directed and independent study?,70.6,3.8,73.9,119,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,88.1,3.1,80.8,118,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q10: How clear were the marking criteria used to assess your work? ,61.3,4.0,73.1,119,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q11: How fair has the marking and assessment been on your course? ,79.8,3.3,83.5,119,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q12: How well have assessments allowed you to demonstrate what you have learned?,86.3,3.0,83.7,117,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q13: How often have you received assessment feedback on time?,81.2,3.6,72.8,117,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q14: How often does feedback help you to improve your work?,82.4,3.7,65.5,119,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q15: How easy was it to contact teaching staff when you needed to?,88.1,2.8,85.1,118,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q16: How well have teaching staff supported your learning?,84.0,3.1,83.6,119,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q17: How well organised is your course?,47.9,4.1,69.4,119,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q18: How well were any changes to teaching on your course communicated?,57.6,3.9,72.4,118,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q19: How well have the IT resources and facilities supported your learning?,42.2,4.1,85.2,116,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",56.5,4.0,85.6,108,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",67.8,3.5,87.2,118,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q22: To what extent do you get the right opportunities to give feedback on your course?,76.9,3.4,82.4,117,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q23: To what extent are students' opinions about the course valued by staff?,70.1,3.8,74.4,117,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q24: How clear is it that students' feedback on the course is acted on?,60.3,4.2,60.8,116,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q25: How well does the students' union (association or guild) represent students' academic interests?,73.5,4.0,73.1,102,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q26: How well communicated was information about your university/college's mental wellbeing support services?,67.0,3.8,79.3,112,141
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",90.4,2.7,87.4,114,141
10067853,ACM Guildford Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q01: How good are teaching staff at explaining things?,93.9,4.9,87.0,33,42
10067853,ACM Guildford Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q02: How often do teaching staff make the subject engaging?,90.9,6.5,72.8,33,42
10067853,ACM Guildford Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q03: How often is the course intellectually stimulating?,78.8,6.5,80.3,33,42
10067853,ACM Guildford Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q04: How often does your course challenge you to achieve your best work?,87.9,5.9,82.0,33,42
10067853,ACM Guildford Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q05: To what extent have you had the chance to explore ideas and concepts in depth? ,90.9,6.1,79.3,33,42
10067853,ACM Guildford Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,75.8,6.8,79.5,33,42
10067853,ACM Guildford Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,84.8,6.2,78.4,33,42
10067853,ACM Guildford Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q08: To what extent does your course have the right balance of directed and independent study?,78.8,6.9,73.8,33,42
10067853,ACM Guildford Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,87.9,6.2,79.7,33,42
10067853,ACM Guildford Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q10: How clear were the marking criteria used to assess your work? ,72.7,7.0,74.8,33,42
10067853,ACM Guildford Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q11: How fair has the marking and assessment been on your course? ,90.9,5.6,84.3,33,42
