ukprn,provider,cah1_code,cah1_subject,cah2_code,cah2_subject,cah3_code,cah3_subject,question,agree_pct,agree_pct_sd,benchmark,respondents,population
10042570,AAP Education Limited,CAH11,computing,CAH11-01,computing,CAH11-01-06,computer games and animation,Q01: How good are teaching staff at explaining things?,87.4,2.8,87.0,119,141
10007158,University of Southampton,CAH01,medicine and dentistry,CAH01-01,medicine and dentistry,CAH01-01-02,medicine (non-specific),Q01: How good are teaching staff at explaining things?,89.4,2.1,90.1,198,255
10007158,University of Southampton,CAH01,medicine and dentistry,CAH01-01,medicine and dentistry,CAH01-01-02,medicine (non-specific),Q02: How often do teaching staff make the subject engaging?,70.7,2.9,80.9,198,255
10007158,University of Southampton,CAH01,medicine and dentistry,CAH01-01,medicine and dentistry,CAH01-01-02,medicine (non-specific),Q03: How often is the course intellectually stimulating?,93.4,1.7,92.8,198,255
10007158,University of Southampton,CAH01,medicine and dentistry,CAH01-01,medicine and dentistry,CAH01-01-02,medicine (non-specific),Q04: How often does your course challenge you to achieve your best work?,81.6,2.6,83.3,196,255
10007158,University of Southampton,CAH01,medicine and dentistry,CAH01-01,medicine and dentistry,CAH01-01-02,medicine (non-specific),Q05: To what extent have you had the chance to explore ideas and concepts in depth? ,82.7,2.7,80.2,197,255
10007158,University of Southampton,CAH01,medicine and dentistry,CAH01-01,medicine and dentistry,CAH01-01-02,medicine (non-specific),Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,90.4,2.2,86.6,197,255
10007158,University of Southampton,CAH01,medicine and dentistry,CAH01-01,medicine and dentistry,CAH01-01-02,medicine (non-specific),Q07: To what extent have you had the chance to bring together information and ideas from different topics?,90.4,2.1,89.2,198,255
10007158,University of Southampton,CAH01,medicine and dentistry,CAH01-01,medicine and dentistry,CAH01-01-02,medicine (non-specific),Q08: To what extent does your course have the right balance of directed and independent study?,65.5,3.2,66.7,197,255
10007158,University of Southampton,CAH01,medicine and dentistry,CAH01-01,medicine and dentistry,CAH01-01-02,medicine (non-specific),Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,92.9,1.9,91.2,198,255
10007158,University of Southampton,CAH01,medicine and dentistry,CAH01-01,medicine and dentistry,CAH01-01-02,medicine (non-specific),Q10: How clear were the marking criteria used to assess your work? ,59.1,3.3,68.2,198,255
10007158,University of Southampton,CAH01,medicine and dentistry,CAH01-01,medicine and dentistry,CAH01-01-02,medicine (non-specific),Q11: How fair has the marking and assessment been on your course? ,78.8,2.7,81.3,198,255
10007158,University of Southampton,CAH01,medicine and dentistry,CAH01-01,medicine and dentistry,CAH01-01-02,medicine (non-specific),Q12: How well have assessments allowed you to demonstrate what you have learned?,76.3,2.8,79.0,198,255
