ukprn,provider
10007825,Guildhall School of Music & Drama
90000451,Harper and Keele Veterinary School
99999997,Medway School of Pharmacy
10007778,Royal College of Music
10005553,Royal Holloway and Bedford New College
10007837,Royal Northern College of Music
10007838,Royal Welsh College of Music and Drama Limited
10005700,SRUC
10007780,School of Oriental and African Studies
10004063,The London School of Economics and Political Science
10007835,The Royal Academy of Music
10007779,The Royal Veterinary College
10008017,Trinity Laban Conservatoire of Music and Dance
10007849,Abertay University
10000291,Anglia Ruskin University
10005451,Arden University Limited
10000385,"Arts University Bournemouth, the"
10005127,Arts University Plymouth
10007759,Aston University
10037544,BIMM University Limited
10031982,BPP University Limited
10007857,Bangor University
10007140,Birmingham City University
10007832,Birmingham Newman University
10007811,Bishop Grosseteste University
10000824,Bournemouth University
99999999,Brighton and Sussex Medical School
10000961,Brunel University London
10000975,Buckinghamshire New University
10001143,Canterbury Christ Church University
10007854,Cardiff Metropolitan University
10007814,Cardiff University
10001478,"City St George's, University of London"
10001726,Coventry University
10001883,De Montfort University
10007823,Edge Hill University
10007772,Edinburgh Napier University
10008640,Falmouth University
10007762,Glasgow Caledonian University
10007833,Glyndwr University
10040812,Harper Adams University
10080811,Hartpury University
10000163,Health Sciences University
10007764,Heriot-Watt University
99999998,Hull York Medical School
10003270,"Imperial College of Science, Technology and Medicine"
10003645,King's College London
10003678,Kingston University
10003854,Leeds Arts University
10003861,Leeds Beckett University
10003863,Leeds Trinity University
10003956,Liverpool Hope University
10003957,Liverpool John Moores University
10004048,London Metropolitan University
10004078,London South Bank University
10004113,Loughborough University
10004180,Manchester Metropolitan University
10004351,Middlesex University
10048199,Northeastern University - London
10004775,Norwich University of the Arts
10004797,Nottingham Trent University
10004930,Oxford Brookes University
10007856,Prifysgol Aberystwyth
10005337,"Queen Margaret University, Edinburgh"
10007775,Queen Mary University of London
10005343,Queen's University of Belfast
10005389,Ravensbourne University London
10086591,Regent's University London Limited
10005470,"Richmond, the American International University in London, Inc."
10005500,Robert Gordon University
10007776,Roehampton University
10005790,Sheffield Hallam University
10006022,Southampton Solent University
10008026,St Mary's University College
10007843,"St Mary's University, Twickenham"
10008010,Stranmillis University College
10007855,Swansea University
10007161,Teesside University
10005545,The Royal Agricultural University
10006840,The University of Birmingham
10007785,The University of Bradford
10007787,The University of Buckingham
10007137,The University of Chichester
10007842,The University of Cumbria
10007789,The University of East Anglia
10007791,The University of Essex
10007148,The University of Huddersfield
10007149,The University of Hull
10007150,The University of Kent
10007768,The University of Lancaster
10039956,The University of Law Limited
10007795,The University of Leeds
10007796,The University of Leicester
10006842,The University of Liverpool
10007798,The University of Manchester
10007802,The University of Reading
10007157,The University of Sheffield
10007160,The University of Surrey
10007163,The University of Warwick
10006566,The University of West London
10007165,The University of Westminster
10000712,University College Birmingham
10007784,University College London
10006427,University for the Creative Arts
10007783,University of Aberdeen
10007152,University of Bedfordshire
10000886,University of Brighton
10007786,University of Bristol
10007788,University of Cambridge
10007848,University of Chester
10007851,University of Derby
10007852,University of Dundee
10007143,University of Durham
10007144,University of East London
10007790,University of Edinburgh
10007792,University of Exeter
10007794,University of Glasgow
10007145,University of Gloucestershire
10006841,University of Greater Manchester
10007146,University of Greenwich
10007147,University of Hertfordshire
10007767,University of Keele
10007141,University of Lancashire
10007151,University of Lincoln
10007812,University of London Institute in Paris
10007799,University of Newcastle upon Tyne
10007138,"University of Northampton, The"
10001282,University of Northumbria at Newcastle
10007154,"University of Nottingham, The"
10007774,University of Oxford
10007801,University of Plymouth
10007155,University of Portsmouth
10007156,"University of Salford, The"
10007793,University of South Wales/Prifysgol De Cymru
10007158,University of Southampton
10007803,University of St Andrews
10037449,University of St Mark & St John
10006299,University of Staffordshire
10007804,University of Stirling
10007805,University of Strathclyde
10014001,University of Suffolk
10007159,University of Sunderland
10007806,University of Sussex
10007807,University of Ulster
10007858,University of Wales: Trinity Saint David
10003614,University of Winchester
10007166,University of Wolverhampton
10007139,University of Worcester
10007167,University of York
10007162,"University of the Arts, London"
10007114,University of the Highlands and Islands
10007164,"University of the West of England, Bristol"
10007800,University of the West of Scotland
10007527,Wiltshire College and University Centre
10007713,York St John University
10005561,Royal Conservatoire of Scotland
10001503,The Northern School of Art
10042570,AAP Education Limited
10067853,ACM Guildford Limited
10010093,Academy for Contemporary Circus and Physical Theatre
10036456,Academy of Live Technology Ltd
10004927,Activate Learning
10032036,Amity Global Education Ltd
10008071,Architectural Association (Incorporated)
10000381,Arts Educational Schools(The)
10082366,Ashton Sixth Form College
10000415,Askham Bryan College
10020416,Assemblies of God Incorporated
10000911,BCNO Limited
10046386,Ballet Theatre UK Limited
10000533,Barnet & Southgate College
10000536,Barnsley College
10028240,Beat Media Group Limited
10000610,Bedford College
10020680,Belfast Metropolitan College
10007760,Birkbeck College
10006442,Birmingham Metropolitan College
10000721,Bishop Burton College
10000747,Blackburn College
10000754,Blackpool and the Fylde College
10004061,Bloomsbury Institute Limited
10088539,Boomsatsuma Education Limited
10000812,Boston College
10000840,Bradford College
10000878,Bridgwater and Taunton College
10082302,Brighton Academy Limited
10028216,Brit College Limited
10038772,British Academy of Jewellery Limited
10001000,Burnley College
10001005,Bury College
10037364,CECOS Computing International Limited
10008628,CECOS London Limited
10084822,"CWSH, CWS & College of ESPORTS Limited"
10010308,Cambridge Arts & Sciences Limited
10001148,Capel Manor College
10007455,Capital City College Group
10024024,Central Film School London Ltd
10001264,Central School of Ballet Charitable Trust Limited(the)
10007817,Chichester College Group
10026921,Christ the Redeemer College
10004772,City College Norwich
10005128,City College Plymouth
10039082,City and Guilds of London Art School Limited
10001475,City of Sunderland College
10008912,Coleg Gwent
10008914,Coleg y Cymoedd
10004028,Contemporary Dance Trust Limited
10001696,Cornwall College
10034324,Court Theatre Training Company Ltd
10007761,Courtauld Institute of Art
10088321,DBS Music Holdings Limited
10001919,DCG
10004695,DN Colleges Group
10084951,Dancebox Theatre Works
10015688,David Game College Ltd
10002029,Drama Studio London Limited
10004116,East Coast College
10002111,East Durham College
10002923,East Sussex College Group
10009213,Education for Industry Group
10021100,Elim Foursquare Gospel Alliance
10047572,Elizabeth School of London Limited
10022047,Empire College London Limited
10002370,Exeter College
10033187,Fairfield School of Business Ltd
10002412,Farnborough College of Technology
10086107,Fourth Monkey Education Limited
10022087,Futureworks Training Limited
10002681,Glasgow School of Art
10042500,Global Banking School Limited
10002696,Gloucestershire College
10002718,Goldsmiths' College
10030408,Gower College Swansea
10007820,Grwp Llandrillo Menai
10003212,HULT International Business School Ltd
10002852,Halesowen College
10007977,Heart of Worcestershire College
10007289,Heart of Yorkshire Education Group
10003022,Hereford College of Arts
10003193,Hugh Baird College
10041898,Hy Education Limited
10035638,ICMP Management Limited
10003239,ICON College of Technology and Management Ltd
10010213,Inter-ED UK Limited
10045793,Iron Mill Education Limited
10009527,Istituto Marangoni Limited
10067601,JSA Education Group Ltd.
10089266,LCA Education Limited
10004011,LCA London Limited
10066551,LCCM AU UK Limited
10094627,LCK Academy LTD
10027803,LD Training Services Limited
10023139,LTE Group
10003758,Lamda Limited
10011018,Lancashire Teaching Hospitals NHS Foundation Trust
10003798,Le Cordon Bleu Limited
10034449,Leeds Conservatoire
10003867,Leicester College
10003928,Lincoln College
10031239,Liverpool Media Academy Limited
10013109,London Bridge Business Academy Limited
10030391,London Churchill College Ltd
10052868,London College of Contemporary Arts Ltd
10023434,London School of Commerce & IT Limited
10022285,London School of Management Education Limited
10008362,London School of Science & Technology Limited
10004075,London School of Theology
10000948,London South East Colleges
10004079,London Studio Centre Limited
10004112,Loughborough College
10024962,Luminate Education Group
10004328,Met Film Limited
10045476,Met Film School Limited
10004344,Middlesbrough College
10023777,Mont Rose College of Management and Sciences Limited
10023454,Moorlands College
10004432,Morley College Limited
10004442,Moulton College
10004450,Mountview Academy of Theatre Arts Limited
10004478,Myerscough College
10004599,NCG
10053304,Navitas UK Holdings Limited
10004538,Nazarene Theological College
10030129,Nelson College London Limited
10004552,Nelson and Colne College
10004576,New College Durham
10009251,New College Lanarkshire
10004579,New College Swindon
10067406,New Model Institute for Technology and Engineering
10045275,Nexus Institute of Creative Arts
10008397,Norland College Limited
10004686,North East Surrey College of Technology (NESCOT)
10004690,North Hertfordshire College
10004718,North Warwickshire and South Leicestershire College
10020634,North West Regional College
10004740,Northern College of Acupuncture
10008816,Northern School of Contemporary Dance
10057622,Numerica Risk Management and Consulting Ltd
10004835,Oaklands College
10020439,Oxford Business College UK Limited
10066143,Paris Dauphine International
10066270,Performance Preparation Academy Limited
10004676,Petroc
10008430,Platform One (IOW) Limited
10005124,Plumpton College
10019178,Point Blank Limited
10005200,Preston College
10087170,QAHE (LM) Limited
10066760,QAHE (NU) Limited
10067682,QAHE (Solent) Limited
10037353,QAHE (ULST) Limited
10008455,RTC Education Ltd
10005378,Rambert School of Ballet and Contemporary Dance
10005404,Reaseheath College
10023871,Results Consortium Limited
10005523,Rose Bruford College of Theatre and Performance
10005544,Royal Academy of Dance
10009292,Royal Academy of Dramatic Art
10005455,Royal Engineers Vocational Education and Training Trust
10020436,Royal School of Needlework(The)
10084788,Screenology C.I.C.
10041563,Shockout Arts Ltd
10085530,Skyborne Aviation Training Limited
10005916,Slough Borough Council
10005967,South & City College Birmingham
10005977,South Devon College
10020699,South Eastern Regional College
10005981,South Essex College of Further and Higher Education
10036143,South Gloucestershire and Stroud College
10007928,South Hampshire College Group
10023526,South Staffordshire College
10003674,South Thames Colleges Group
10020685,South West College
10020633,Southern Regional College
10006050,Sparsholt College
10010457,Spirit SSR Limited
10030776,St Mellitus College Trust
10008653,St. Piran's School (GB) Limited
10027603,Stageworks Productions Limited
10007938,TEC Partnership
10032072,The Cambridge Theological Federation
10001386,The Chicken Shed Theatre Trust
10066502,The College of Health Ltd
10001546,The College of Integrated Chinese Medicine
10032288,The Edward James Foundation Limited
10083403,The Engineering and Design Institute London
10004035,The Film Education Training Trust Limited
10064599,The LETTA Trust
10003945,The Liverpool Institute for Performing Arts
10067623,The London Interdisciplinary School Ltd
10023452,The Markfield Institute of Higher Education
10004320,The Metanoia Institute
10006770,The Oldham College
10007816,The Royal Central School of Speech and Drama
10023458,The Sherwood Psychotherapy Training Institute Limited
10005998,The Trafford and Stockport College Group
10002107,The Windsor Forest Colleges Group
10023464,Trinity College (Bristol) Limited
10007063,Truro and Penwith College
10005999,Tyne Coast College
10015506,UCK Limited
10022021,UK College of Business and Computing Ltd
10043146,UK Curriculum and Accreditation Body (UKCAB)
